ccode,country.name,year,value
8,Albania,1850,0
32,Argentina,1850,0
36,Australia,1850,0
40,Austria,1850,0
31,Azerbaijan,1850,0
48,Bahrain,1850,0
70,Bosnia and Herzegovina,1850,0
76,Brazil,1850,0
100,Bulgaria,1850,0
120,Cameroon,1850,0
124,Canada,1850,0
156,China,1850,0
170,Colombia,1850,0
191,Croatia,1850,0
208,Denmark,1850,0
214,Dominican Republic,1850,0
818,Egypt,1850,0
250,France,1850,0
276,Germany,1850,0
288,Ghana,1850,0
300,Greece,1850,0
324,Guinea,1850,0
624,Guinea-Bissau,1850,0
328,Guyana,1850,0
332,Haiti,1850,0
348,Hungary,1850,0
352,Iceland,1850,0
356,India,1850,0
360,Indonesia,1850,0
364,Iran,1850,0
368,Iraq,1850,0
380,Italy,1850,0
388,Jamaica,1850,0
392,Japan,1850,0
398,Kazakhstan,1850,0
807,Macedonia,1850,0
458,Malaysia,1850,0
484,Mexico,1850,0
499,Montenegro,1850,0
508,Mozambique,1850,0
528,Netherlands,1850,0
554,New Zealand,1850,0
566,Nigeria,1850,0
408,North Korea,1850,0
578,Norway,1850,0
512,Oman,1850,0
586,Pakistan,1850,0
598,Papua New Guinea,1850,0
616,Poland,1850,0
634,Qatar,1850,0
642,Romania,1850,0
643,Russia,1850,0
682,Saudi Arabia,1850,0
694,Sierra Leone,1850,0
703,Slovakia,1850,0
705,Slovenia,1850,0
710,South Africa,1850,0
410,South Korea,1850,0
724,Spain,1850,0
740,Suriname,1850,0
752,Sweden,1850,0
756,Switzerland,1850,0
762,Tajikistan,1850,0
834,Tanzania,1850,0
792,Turkey,1850,0
804,Ukraine,1850,0
784,United Arab Emirates,1850,0
826,United Kingdom,1850,0
840,United States,1850,0
862,Venezuela,1850,0
704,Vietnam,1850,0
716,Zimbabwe,1850,0
8,Albania,1851,0
32,Argentina,1851,0
36,Australia,1851,0
40,Austria,1851,0
31,Azerbaijan,1851,0
48,Bahrain,1851,0
70,Bosnia and Herzegovina,1851,0
76,Brazil,1851,0
100,Bulgaria,1851,0
120,Cameroon,1851,0
124,Canada,1851,0
156,China,1851,0
170,Colombia,1851,0
191,Croatia,1851,0
208,Denmark,1851,0
214,Dominican Republic,1851,0
818,Egypt,1851,0
250,France,1851,0
276,Germany,1851,0
288,Ghana,1851,0
300,Greece,1851,0
324,Guinea,1851,0
624,Guinea-Bissau,1851,0
328,Guyana,1851,0
332,Haiti,1851,0
348,Hungary,1851,0
352,Iceland,1851,0
356,India,1851,0
360,Indonesia,1851,0
364,Iran,1851,0
368,Iraq,1851,0
380,Italy,1851,0
388,Jamaica,1851,0
392,Japan,1851,0
398,Kazakhstan,1851,0
807,Macedonia,1851,0
458,Malaysia,1851,0
484,Mexico,1851,0
499,Montenegro,1851,0
508,Mozambique,1851,0
528,Netherlands,1851,0
554,New Zealand,1851,0
566,Nigeria,1851,0
408,North Korea,1851,0
578,Norway,1851,0
512,Oman,1851,0
586,Pakistan,1851,0
598,Papua New Guinea,1851,0
616,Poland,1851,0
634,Qatar,1851,0
642,Romania,1851,0
643,Russia,1851,0
682,Saudi Arabia,1851,0
694,Sierra Leone,1851,0
703,Slovakia,1851,0
705,Slovenia,1851,0
710,South Africa,1851,0
410,South Korea,1851,0
724,Spain,1851,0
740,Suriname,1851,0
752,Sweden,1851,0
756,Switzerland,1851,0
762,Tajikistan,1851,0
834,Tanzania,1851,0
792,Turkey,1851,0
804,Ukraine,1851,0
784,United Arab Emirates,1851,0
826,United Kingdom,1851,0
840,United States,1851,0
862,Venezuela,1851,0
704,Vietnam,1851,0
716,Zimbabwe,1851,0
8,Albania,1852,0
32,Argentina,1852,0
36,Australia,1852,0
40,Austria,1852,0
31,Azerbaijan,1852,0
48,Bahrain,1852,0
70,Bosnia and Herzegovina,1852,0
76,Brazil,1852,0
100,Bulgaria,1852,0
120,Cameroon,1852,0
124,Canada,1852,0
156,China,1852,0
170,Colombia,1852,0
191,Croatia,1852,0
208,Denmark,1852,0
214,Dominican Republic,1852,0
818,Egypt,1852,0
250,France,1852,0
276,Germany,1852,0
288,Ghana,1852,0
300,Greece,1852,0
324,Guinea,1852,0
624,Guinea-Bissau,1852,0
328,Guyana,1852,0
332,Haiti,1852,0
348,Hungary,1852,0
352,Iceland,1852,0
356,India,1852,0
360,Indonesia,1852,0
364,Iran,1852,0
368,Iraq,1852,0
380,Italy,1852,0
388,Jamaica,1852,0
392,Japan,1852,0
398,Kazakhstan,1852,0
807,Macedonia,1852,0
458,Malaysia,1852,0
484,Mexico,1852,0
499,Montenegro,1852,0
508,Mozambique,1852,0
528,Netherlands,1852,0
554,New Zealand,1852,0
566,Nigeria,1852,0
408,North Korea,1852,0
578,Norway,1852,0
512,Oman,1852,0
586,Pakistan,1852,0
598,Papua New Guinea,1852,0
616,Poland,1852,0
634,Qatar,1852,0
642,Romania,1852,0
643,Russia,1852,0
682,Saudi Arabia,1852,0
694,Sierra Leone,1852,0
703,Slovakia,1852,0
705,Slovenia,1852,0
710,South Africa,1852,0
410,South Korea,1852,0
724,Spain,1852,0
740,Suriname,1852,0
752,Sweden,1852,0
756,Switzerland,1852,0
762,Tajikistan,1852,0
834,Tanzania,1852,0
792,Turkey,1852,0
804,Ukraine,1852,0
784,United Arab Emirates,1852,0
826,United Kingdom,1852,0
840,United States,1852,0
862,Venezuela,1852,0
704,Vietnam,1852,0
716,Zimbabwe,1852,0
8,Albania,1853,0
32,Argentina,1853,0
36,Australia,1853,0
40,Austria,1853,0
31,Azerbaijan,1853,0
48,Bahrain,1853,0
70,Bosnia and Herzegovina,1853,0
76,Brazil,1853,0
100,Bulgaria,1853,0
120,Cameroon,1853,0
124,Canada,1853,0
156,China,1853,0
170,Colombia,1853,0
191,Croatia,1853,0
208,Denmark,1853,0
214,Dominican Republic,1853,0
818,Egypt,1853,0
250,France,1853,0
276,Germany,1853,0
288,Ghana,1853,0
300,Greece,1853,0
324,Guinea,1853,0
624,Guinea-Bissau,1853,0
328,Guyana,1853,0
332,Haiti,1853,0
348,Hungary,1853,0
352,Iceland,1853,0
356,India,1853,0
360,Indonesia,1853,0
364,Iran,1853,0
368,Iraq,1853,0
380,Italy,1853,0
388,Jamaica,1853,0
392,Japan,1853,0
398,Kazakhstan,1853,0
807,Macedonia,1853,0
458,Malaysia,1853,0
484,Mexico,1853,0
499,Montenegro,1853,0
508,Mozambique,1853,0
528,Netherlands,1853,0
554,New Zealand,1853,0
566,Nigeria,1853,0
408,North Korea,1853,0
578,Norway,1853,0
512,Oman,1853,0
586,Pakistan,1853,0
598,Papua New Guinea,1853,0
616,Poland,1853,0
634,Qatar,1853,0
642,Romania,1853,0
643,Russia,1853,0
682,Saudi Arabia,1853,0
694,Sierra Leone,1853,0
703,Slovakia,1853,0
705,Slovenia,1853,0
710,South Africa,1853,0
410,South Korea,1853,0
724,Spain,1853,0
740,Suriname,1853,0
752,Sweden,1853,0
756,Switzerland,1853,0
762,Tajikistan,1853,0
834,Tanzania,1853,0
792,Turkey,1853,0
804,Ukraine,1853,0
784,United Arab Emirates,1853,0
826,United Kingdom,1853,0
840,United States,1853,0
862,Venezuela,1853,0
704,Vietnam,1853,0
716,Zimbabwe,1853,0
8,Albania,1854,0
32,Argentina,1854,0
36,Australia,1854,0
40,Austria,1854,0
31,Azerbaijan,1854,0
48,Bahrain,1854,0
70,Bosnia and Herzegovina,1854,0
76,Brazil,1854,0
100,Bulgaria,1854,0
120,Cameroon,1854,0
124,Canada,1854,0
156,China,1854,0
170,Colombia,1854,0
191,Croatia,1854,0
208,Denmark,1854,0
214,Dominican Republic,1854,0
818,Egypt,1854,0
250,France,1854,0
276,Germany,1854,0
288,Ghana,1854,0
300,Greece,1854,0
324,Guinea,1854,0
624,Guinea-Bissau,1854,0
328,Guyana,1854,0
332,Haiti,1854,0
348,Hungary,1854,0
352,Iceland,1854,0
356,India,1854,0
360,Indonesia,1854,0
364,Iran,1854,0
368,Iraq,1854,0
380,Italy,1854,0
388,Jamaica,1854,0
392,Japan,1854,0
398,Kazakhstan,1854,0
807,Macedonia,1854,0
458,Malaysia,1854,0
484,Mexico,1854,0
499,Montenegro,1854,0
508,Mozambique,1854,0
528,Netherlands,1854,0
554,New Zealand,1854,0
566,Nigeria,1854,0
408,North Korea,1854,0
578,Norway,1854,0
512,Oman,1854,0
586,Pakistan,1854,0
598,Papua New Guinea,1854,0
616,Poland,1854,0
634,Qatar,1854,0
642,Romania,1854,0
643,Russia,1854,0
682,Saudi Arabia,1854,0
694,Sierra Leone,1854,0
703,Slovakia,1854,0
705,Slovenia,1854,0
710,South Africa,1854,0
410,South Korea,1854,0
724,Spain,1854,0
740,Suriname,1854,0
752,Sweden,1854,0
756,Switzerland,1854,0
762,Tajikistan,1854,0
834,Tanzania,1854,0
792,Turkey,1854,0
804,Ukraine,1854,0
784,United Arab Emirates,1854,0
826,United Kingdom,1854,0
840,United States,1854,0
862,Venezuela,1854,0
704,Vietnam,1854,0
716,Zimbabwe,1854,0
8,Albania,1855,0
32,Argentina,1855,0
36,Australia,1855,0
40,Austria,1855,0
31,Azerbaijan,1855,0
48,Bahrain,1855,0
70,Bosnia and Herzegovina,1855,0
76,Brazil,1855,0
100,Bulgaria,1855,0
120,Cameroon,1855,0
124,Canada,1855,0
156,China,1855,0
170,Colombia,1855,0
191,Croatia,1855,0
208,Denmark,1855,0
214,Dominican Republic,1855,0
818,Egypt,1855,0
250,France,1855,0
276,Germany,1855,0
288,Ghana,1855,0
300,Greece,1855,0
324,Guinea,1855,0
624,Guinea-Bissau,1855,0
328,Guyana,1855,0
332,Haiti,1855,0
348,Hungary,1855,0
352,Iceland,1855,0
356,India,1855,0
360,Indonesia,1855,0
364,Iran,1855,0
368,Iraq,1855,0
380,Italy,1855,0
388,Jamaica,1855,0
392,Japan,1855,0
398,Kazakhstan,1855,0
807,Macedonia,1855,0
458,Malaysia,1855,0
484,Mexico,1855,0
499,Montenegro,1855,0
508,Mozambique,1855,0
528,Netherlands,1855,0
554,New Zealand,1855,0
566,Nigeria,1855,0
408,North Korea,1855,0
578,Norway,1855,0
512,Oman,1855,0
586,Pakistan,1855,0
598,Papua New Guinea,1855,0
616,Poland,1855,0
634,Qatar,1855,0
642,Romania,1855,0
643,Russia,1855,0
682,Saudi Arabia,1855,0
694,Sierra Leone,1855,0
703,Slovakia,1855,0
705,Slovenia,1855,0
710,South Africa,1855,0
410,South Korea,1855,0
724,Spain,1855,0
740,Suriname,1855,0
752,Sweden,1855,0
756,Switzerland,1855,0
762,Tajikistan,1855,0
834,Tanzania,1855,0
792,Turkey,1855,0
804,Ukraine,1855,0
784,United Arab Emirates,1855,0
826,United Kingdom,1855,0
840,United States,1855,0
862,Venezuela,1855,0
704,Vietnam,1855,0
716,Zimbabwe,1855,0
8,Albania,1856,0
32,Argentina,1856,0
36,Australia,1856,0
40,Austria,1856,0
31,Azerbaijan,1856,0
48,Bahrain,1856,0
70,Bosnia and Herzegovina,1856,0
76,Brazil,1856,0
100,Bulgaria,1856,0
120,Cameroon,1856,0
124,Canada,1856,0
156,China,1856,0
170,Colombia,1856,0
191,Croatia,1856,0
208,Denmark,1856,0
214,Dominican Republic,1856,0
818,Egypt,1856,0
250,France,1856,0
276,Germany,1856,0
288,Ghana,1856,0
300,Greece,1856,0
324,Guinea,1856,0
624,Guinea-Bissau,1856,0
328,Guyana,1856,0
332,Haiti,1856,0
348,Hungary,1856,0
352,Iceland,1856,0
356,India,1856,0
360,Indonesia,1856,0
364,Iran,1856,0
368,Iraq,1856,0
380,Italy,1856,0
388,Jamaica,1856,0
392,Japan,1856,0
398,Kazakhstan,1856,0
807,Macedonia,1856,0
458,Malaysia,1856,0
484,Mexico,1856,0
499,Montenegro,1856,0
508,Mozambique,1856,0
528,Netherlands,1856,0
554,New Zealand,1856,0
566,Nigeria,1856,0
408,North Korea,1856,0
578,Norway,1856,0
512,Oman,1856,0
586,Pakistan,1856,0
598,Papua New Guinea,1856,0
616,Poland,1856,0
634,Qatar,1856,0
642,Romania,1856,0
643,Russia,1856,0
682,Saudi Arabia,1856,0
694,Sierra Leone,1856,0
703,Slovakia,1856,0
705,Slovenia,1856,0
710,South Africa,1856,0
410,South Korea,1856,0
724,Spain,1856,0
740,Suriname,1856,0
752,Sweden,1856,0
756,Switzerland,1856,0
762,Tajikistan,1856,0
834,Tanzania,1856,0
792,Turkey,1856,0
804,Ukraine,1856,0
784,United Arab Emirates,1856,0
826,United Kingdom,1856,0
840,United States,1856,0
862,Venezuela,1856,0
704,Vietnam,1856,0
716,Zimbabwe,1856,0
8,Albania,1857,0
32,Argentina,1857,0
36,Australia,1857,0
40,Austria,1857,0
31,Azerbaijan,1857,0
48,Bahrain,1857,0
70,Bosnia and Herzegovina,1857,0
76,Brazil,1857,0
100,Bulgaria,1857,0
120,Cameroon,1857,0
124,Canada,1857,0
156,China,1857,0
170,Colombia,1857,0
191,Croatia,1857,0
208,Denmark,1857,0
214,Dominican Republic,1857,0
818,Egypt,1857,0
250,France,1857,0
276,Germany,1857,0
288,Ghana,1857,0
300,Greece,1857,0
324,Guinea,1857,0
624,Guinea-Bissau,1857,0
328,Guyana,1857,0
332,Haiti,1857,0
348,Hungary,1857,0
352,Iceland,1857,0
356,India,1857,0
360,Indonesia,1857,0
364,Iran,1857,0
368,Iraq,1857,0
380,Italy,1857,0
388,Jamaica,1857,0
392,Japan,1857,0
398,Kazakhstan,1857,0
807,Macedonia,1857,0
458,Malaysia,1857,0
484,Mexico,1857,0
499,Montenegro,1857,0
508,Mozambique,1857,0
528,Netherlands,1857,0
554,New Zealand,1857,0
566,Nigeria,1857,0
408,North Korea,1857,0
578,Norway,1857,0
512,Oman,1857,0
586,Pakistan,1857,0
598,Papua New Guinea,1857,0
616,Poland,1857,0
