ccode,country.name,year,value
8,Albania,1880,0
36,Australia,1880,0
70,Bosnia and Herzegovina,1880,0
76,Brazil,1880,0
100,Bulgaria,1880,0
124,Canada,1880,0
156,China,1880,0
170,Colombia,1880,0
191,Croatia,1880,0
208,Denmark,1880,0
214,Dominican Republic,1880,0
818,Egypt,1880,0
250,France,1880,0
288,Ghana,1880,0
300,Greece,1880,0
324,Guinea,1880,0
624,Guinea-Bissau,1880,0
328,Guyana,1880,0
332,Haiti,1880,0
348,Hungary,1880,0
356,India,1880,0
360,Indonesia,1880,0
364,Iran,1880,0
368,Iraq,1880,0
380,Italy,1880,0
388,Jamaica,1880,0
398,Kazakhstan,1880,0
807,Macedonia,1880,0
458,Malaysia,1880,0
484,Mexico,1880,0
499,Montenegro,1880,0
508,Mozambique,1880,0
586,Pakistan,1880,0
616,Poland,1880,0
642,Romania,1880,0
643,Russia,1880,0
682,Saudi Arabia,1880,0
694,Sierra Leone,1880,0
705,Slovenia,1880,0
724,Spain,1880,0
740,Suriname,1880,0
834,Tanzania,1880,0
792,Turkey,1880,0
826,United Kingdom,1880,0
840,United States,1880,0
862,Venezuela,1880,0
704,Vietnam,1880,0
716,Zimbabwe,1880,0
8,Albania,1881,0
36,Australia,1881,0
70,Bosnia and Herzegovina,1881,0
76,Brazil,1881,0
100,Bulgaria,1881,0
124,Canada,1881,0
156,China,1881,0
170,Colombia,1881,0
191,Croatia,1881,0
208,Denmark,1881,0
214,Dominican Republic,1881,0
818,Egypt,1881,0
250,France,1881,0
288,Ghana,1881,0
300,Greece,1881,0
324,Guinea,1881,0
624,Guinea-Bissau,1881,0
328,Guyana,1881,0
332,Haiti,1881,0
348,Hungary,1881,0
356,India,1881,0
360,Indonesia,1881,0
364,Iran,1881,0
368,Iraq,1881,0
380,Italy,1881,0
388,Jamaica,1881,0
398,Kazakhstan,1881,0
807,Macedonia,1881,0
458,Malaysia,1881,0
484,Mexico,1881,0
499,Montenegro,1881,0
508,Mozambique,1881,0
586,Pakistan,1881,0
616,Poland,1881,0
642,Romania,1881,0
643,Russia,1881,0
682,Saudi Arabia,1881,0
694,Sierra Leone,1881,0
705,Slovenia,1881,0
724,Spain,1881,0
740,Suriname,1881,0
834,Tanzania,1881,0
792,Turkey,1881,0
826,United Kingdom,1881,0
840,United States,1881,0
862,Venezuela,1881,0
704,Vietnam,1881,0
716,Zimbabwe,1881,0
8,Albania,1882,0
36,Australia,1882,0
70,Bosnia and Herzegovina,1882,0
76,Brazil,1882,0
100,Bulgaria,1882,0
124,Canada,1882,0
156,China,1882,0
170,Colombia,1882,0
191,Croatia,1882,0
208,Denmark,1882,0
214,Dominican Republic,1882,0
818,Egypt,1882,0
250,France,1882,0
288,Ghana,1882,0
300,Greece,1882,0
324,Guinea,1882,0
624,Guinea-Bissau,1882,0
328,Guyana,1882,0
332,Haiti,1882,0
348,Hungary,1882,0
356,India,1882,0
360,Indonesia,1882,0
364,Iran,1882,0
368,Iraq,1882,0
380,Italy,1882,0
388,Jamaica,1882,0
398,Kazakhstan,1882,0
807,Macedonia,1882,0
458,Malaysia,1882,0
484,Mexico,1882,0
499,Montenegro,1882,0
508,Mozambique,1882,0
586,Pakistan,1882,0
616,Poland,1882,0
642,Romania,1882,0
643,Russia,1882,0
682,Saudi Arabia,1882,0
694,Sierra Leone,1882,0
705,Slovenia,1882,0
724,Spain,1882,0
740,Suriname,1882,0
834,Tanzania,1882,0
792,Turkey,1882,0
826,United Kingdom,1882,0
840,United States,1882,0
862,Venezuela,1882,0
704,Vietnam,1882,0
716,Zimbabwe,1882,0
8,Albania,1883,0
36,Australia,1883,0
70,Bosnia and Herzegovina,1883,0
76,Brazil,1883,0
100,Bulgaria,1883,0
124,Canada,1883,0
156,China,1883,0
170,Colombia,1883,0
191,Croatia,1883,0
208,Denmark,1883,0
214,Dominican Republic,1883,0
818,Egypt,1883,0
250,France,1883,0
288,Ghana,1883,0
300,Greece,1883,0
324,Guinea,1883,0
624,Guinea-Bissau,1883,0
328,Guyana,1883,0
332,Haiti,1883,0
348,Hungary,1883,0
356,India,1883,0
360,Indonesia,1883,0
364,Iran,1883,0
368,Iraq,1883,0
380,Italy,1883,0
388,Jamaica,1883,0
398,Kazakhstan,1883,0
807,Macedonia,1883,0
458,Malaysia,1883,0
484,Mexico,1883,0
499,Montenegro,1883,0
508,Mozambique,1883,0
586,Pakistan,1883,0
616,Poland,1883,0
642,Romania,1883,0
643,Russia,1883,0
682,Saudi Arabia,1883,0
694,Sierra Leone,1883,0
705,Slovenia,1883,0
724,Spain,1883,0
740,Suriname,1883,0
834,Tanzania,1883,0
792,Turkey,1883,0
826,United Kingdom,1883,0
840,United States,1883,0
862,Venezuela,1883,0
704,Vietnam,1883,0
716,Zimbabwe,1883,0
8,Albania,1884,0
36,Australia,1884,0
70,Bosnia and Herzegovina,1884,0
76,Brazil,1884,0
100,Bulgaria,1884,0
124,Canada,1884,0
156,China,1884,0
170,Colombia,1884,0
191,Croatia,1884,0
208,Denmark,1884,0
214,Dominican Republic,1884,0
818,Egypt,1884,0
250,France,1884,0
288,Ghana,1884,0
300,Greece,1884,0
324,Guinea,1884,0
624,Guinea-Bissau,1884,0
328,Guyana,1884,0
332,Haiti,1884,0
348,Hungary,1884,0
356,India,1884,0
360,Indonesia,1884,0
364,Iran,1884,0
368,Iraq,1884,0
380,Italy,1884,0
388,Jamaica,1884,0
398,Kazakhstan,1884,0
807,Macedonia,1884,0
458,Malaysia,1884,0
484,Mexico,1884,0
499,Montenegro,1884,0
508,Mozambique,1884,0
586,Pakistan,1884,0
616,Poland,1884,0
642,Romania,1884,0
643,Russia,1884,0
682,Saudi Arabia,1884,0
694,Sierra Leone,1884,0
705,Slovenia,1884,0
724,Spain,1884,0
740,Suriname,1884,0
834,Tanzania,1884,0
792,Turkey,1884,0
826,United Kingdom,1884,0
840,United States,1884,0
862,Venezuela,1884,0
704,Vietnam,1884,0
716,Zimbabwe,1884,0
8,Albania,1885,0
36,Australia,1885,0
70,Bosnia and Herzegovina,1885,0
76,Brazil,1885,0
100,Bulgaria,1885,0
124,Canada,1885,0
156,China,1885,0
170,Colombia,1885,0
191,Croatia,1885,0
208,Denmark,1885,0
214,Dominican Republic,1885,0
818,Egypt,1885,0
250,France,1885,19.1
288,Ghana,1885,0
300,Greece,1885,0
324,Guinea,1885,0
624,Guinea-Bissau,1885,0
328,Guyana,1885,0
332,Haiti,1885,0
348,Hungary,1885,0
356,India,1885,0
360,Indonesia,1885,0
364,Iran,1885,0
368,Iraq,1885,0
