ccode,country.name,year,value
8,Albania,1700,0
51,Armenia,1700,0
40,Austria,1700,0
100,Bulgaria,1700,0
124,Canada,1700,0
196,Cyprus,1700,0
246,Finland,1700,0
250,France,1700,0
268,Georgia,1700,0
276,Germany,1700,0
300,Greece,1700,0
348,Hungary,1700,0
372,Ireland,1700,0
398,Kazakhstan,1700,0
807,Macedonia,1700,0
578,Norway,1700,0
616,Poland,1700,0
620,Portugal,1700,0
642,Romania,1700,0
643,Russia,1700,0
703,Slovakia,1700,0
724,Spain,1700,0
752,Sweden,1700,1.3
826,United Kingdom,1700,0
840,United States,1700,0
860,Uzbekistan,1700,0
8,Albania,1725,0
40,Austria,1725,0
100,Bulgaria,1725,0
124,Canada,1725,0
246,Finland,1725,0
250,France,1725,0
276,Germany,1725,0
300,Greece,1725,0
348,Hungary,1725,0
372,Ireland,1725,0
398,Kazakhstan,1725,0
807,Macedonia,1725,0
578,Norway,1725,0
616,Poland,1725,0
620,Portugal,1725,0
642,Romania,1725,0
643,Russia,1725,0
703,Slovakia,1725,0
724,Spain,1725,0
752,Sweden,1725,0.9
826,United Kingdom,1725,0
840,United States,1725,0
860,Uzbekistan,1725,0
8,Albania,1726,0
40,Austria,1726,0
100,Bulgaria,1726,0
124,Canada,1726,0
246,Finland,1726,0
250,France,1726,0
276,Germany,1726,0
300,Greece,1726,0
348,Hungary,1726,0
372,Ireland,1726,0
398,Kazakhstan,1726,0
807,Macedonia,1726,0
578,Norway,1726,0
616,Poland,1726,0
620,Portugal,1726,0
642,Romania,1726,0
643,Russia,1726,0
703,Slovakia,1726,0
724,Spain,1726,0
752,Sweden,1726,0
826,United Kingdom,1726,0.6
840,United States,1726,0
860,Uzbekistan,1726,0
8,Albania,1727,0
12,Algeria,1727,0
40,Austria,1727,0
72,Botswana,1727,0
100,Bulgaria,1727,0
124,Canada,1727,0
178,Congo,1727,0
180,"Congo, DRC",1727,0
192,Cuba,1727,0
246,Finland,1727,0
250,France,1727,0
276,Germany,1727,0
300,Greece,1727,0
320,Guatemala,1727,0
348,Hungary,1727,0
372,Ireland,1727,0
398,Kazakhstan,1727,0
807,Macedonia,1727,0
484,Mexico,1727,0
504,Morocco,1727,0
516,Namibia,1727,0
558,Nicaragua,1727,0
578,Norway,1727,0
616,Poland,1727,0
620,Portugal,1727,0
642,Romania,1727,0
643,Russia,1727,0
703,Slovakia,1727,0
710,South Africa,1727,0
724,Spain,1727,0
752,Sweden,1727,0
834,Tanzania,1727,0
800,Uganda,1727,0
826,United Kingdom,1727,0.8
840,United States,1727,0
860,Uzbekistan,1727,0
894,Zambia,1727,0
716,Zimbabwe,1727,0
8,Albania,1728,0
12,Algeria,1728,0
32,Argentina,1728,0
51,Armenia,1728,0
36,Australia,1728,0
40,Austria,1728,0
68,Bolivia,1728,0
72,Botswana,1728,0
76,Brazil,1728,0
100,Bulgaria,1728,0
124,Canada,1728,0
152,Chile,1728,0
170,Colombia,1728,0
178,Congo,1728,0
180,"Congo, DRC",1728,0
192,Cuba,1728,0
196,Cyprus,1728,0
218,Ecuador,1728,0
246,Finland,1728,0
250,France,1728,0
268,Georgia,1728,0
276,Germany,1728,0
300,Greece,1728,0
320,Guatemala,1728,0
348,Hungary,1728,0
372,Ireland,1728,0
376,Israel,1728,0
398,Kazakhstan,1728,0
807,Macedonia,1728,0
478,Mauritania,1728,0
484,Mexico,1728,0
504,Morocco,1728,0
516,Namibia,1728,0
558,Nicaragua,1728,0
578,Norway,1728,0
512,Oman,1728,0
598,Papua New Guinea,1728,0
604,Peru,1728,0
616,Poland,1728,0
620,Portugal,1728,0
642,Romania,1728,0
643,Russia,1728,0
682,Saudi Arabia,1728,0
703,Slovakia,1728,0
710,South Africa,1728,0
724,Spain,1728,0
752,Sweden,1728,0
834,Tanzania,1728,0
792,Turkey,1728,0
800,Uganda,1728,0
826,United Kingdom,1728,0.8
840,United States,1728,0
860,Uzbekistan,1728,0
894,Zambia,1728,0
716,Zimbabwe,1728,0
8,Albania,1729,0
12,Algeria,1729,0
32,Argentina,1729,0
51,Armenia,1729,0
36,Australia,1729,0
40,Austria,1729,0
68,Bolivia,1729,0
72,Botswana,1729,0
76,Brazil,1729,0
100,Bulgaria,1729,0
124,Canada,1729,0
152,Chile,1729,0
156,China,1729,0
170,Colombia,1729,0
178,Congo,1729,0
180,"Congo, DRC",1729,0
