ccode,country.name,year,value
12,Algeria,1681,0
24,Angola,1681,0
32,Argentina,1681,0
51,Armenia,1681,0
36,Australia,1681,0
40,Austria,1681,0
31,Azerbaijan,1681,0
68,Bolivia,1681,0
72,Botswana,1681,0
76,Brazil,1681,1.5
100,Bulgaria,1681,0
854,Burkina Faso,1681,0
108,Burundi,1681,0
116,Cambodia,1681,0
120,Cameroon,1681,0
124,Canada,1681,0
140,Central African Republic,1681,0
152,Chile,1681,0
156,China,1681,0
170,Colombia,1681,4
180,"Congo, DRC",1681,0
188,Costa Rica,1681,0
384,Cote d'Ivoire,1681,0
192,Cuba,1681,0
203,Czech Republic,1681,0
214,Dominican Republic,1681,0
218,Ecuador,1681,0
818,Egypt,1681,0
222,El Salvador,1681,0
226,Equatorial Guinea,1681,0
232,Eritrea,1681,0
242,Fiji,1681,0
246,Finland,1681,0
250,France,1681,0
266,Gabon,1681,0
268,Georgia,1681,0
276,Germany,1681,0
288,Ghana,1681,0
300,Greece,1681,0
320,Guatemala,1681,0
324,Guinea,1681,0
328,Guyana,1681,0
332,Haiti,1681,0
340,Honduras,1681,0
348,Hungary,1681,0
356,India,1681,0
360,Indonesia,1681,0
364,Iran,1681,0
380,Italy,1681,0
388,Jamaica,1681,0
392,Japan,1681,0
398,Kazakhstan,1681,0
404,Kenya,1681,0
417,Kyrgyzstan,1681,0
418,Laos,1681,0
430,Liberia,1681,0
807,Macedonia,1681,0
450,Madagascar,1681,0
458,Malaysia,1681,0
466,Mali,1681,0
478,Mauritania,1681,0
484,Mexico,1681,0.4
496,Mongolia,1681,0
504,Morocco,1681,0
508,Mozambique,1681,0
104,Myanmar,1681,0
516,Namibia,1681,0
554,New Zealand,1681,0
558,Nicaragua,1681,0
562,Niger,1681,0
566,Nigeria,1681,0
408,North Korea,1681,0
578,Norway,1681,0
512,Oman,1681,0
591,Panama,1681,0
598,Papua New Guinea,1681,0
604,Peru,1681,0
608,Philippines,1681,0
616,Poland,1681,0
620,Portugal,1681,0
642,Romania,1681,0
643,Russia,1681,0
646,Rwanda,1681,0
682,Saudi Arabia,1681,0
686,Senegal,1681,0
688,Serbia,1681,0
694,Sierra Leone,1681,0
703,Slovakia,1681,0
90,Solomon Is.,1681,0
710,South Africa,1681,0
410,South Korea,1681,0
724,Spain,1681,0
740,Suriname,1681,0
748,Swaziland,1681,0
752,Sweden,1681,0
762,Tajikistan,1681,0
834,Tanzania,1681,0
764,Thailand,1681,0
792,Turkey,1681,0
800,Uganda,1681,0
826,United Kingdom,1681,0
840,United States,1681,0
858,Uruguay,1681,0
860,Uzbekistan,1681,0
862,Venezuela,1681,0
704,Vietnam,1681,0
894,Zambia,1681,0
716,Zimbabwe,1681,0
12,Algeria,1682,0
24,Angola,1682,0
32,Argentina,1682,0
51,Armenia,1682,0
36,Australia,1682,0
40,Austria,1682,0
31,Azerbaijan,1682,0
68,Bolivia,1682,0
72,Botswana,1682,0
76,Brazil,1682,1.5
100,Bulgaria,1682,0
854,Burkina Faso,1682,0
108,Burundi,1682,0
116,Cambodia,1682,0
120,Cameroon,1682,0
124,Canada,1682,0
140,Central African Republic,1682,0
152,Chile,1682,0
156,China,1682,0
170,Colombia,1682,4
180,"Congo, DRC",1682,0
188,Costa Rica,1682,0
384,Cote d'Ivoire,1682,0
192,Cuba,1682,0
203,Czech Republic,1682,0
214,Dominican Republic,1682,0
218,Ecuador,1682,0
818,Egypt,1682,0
222,El Salvador,1682,0
226,Equatorial Guinea,1682,0
232,Eritrea,1682,0
242,Fiji,1682,0
246,Finland,1682,0
250,France,1682,0
266,Gabon,1682,0
268,Georgia,1682,0
276,Germany,1682,0
288,Ghana,1682,0
300,Greece,1682,0
320,Guatemala,1682,0
324,Guinea,1682,0
328,Guyana,1682,0
332,Haiti,1682,0
340,Honduras,1682,0
348,Hungary,1682,0
356,India,1682,0
360,Indonesia,1682,0
364,Iran,1682,0
380,Italy,1682,0
388,Jamaica,1682,0
392,Japan,1682,0
398,Kazakhstan,1682,0
404,Kenya,1682,0
417,Kyrgyzstan,1682,0
418,Laos,1682,0
430,Liberia,1682,0
807,Macedonia,1682,0
450,Madagascar,1682,0
458,Malaysia,1682,0
466,Mali,1682,0
478,Mauritania,1682,0
484,Mexico,1682,0.4
496,Mongolia,1682,0
504,Morocco,1682,0
508,Mozambique,1682,0
104,Myanmar,1682,0
516,Namibia,1682,0
554,New Zealand,1682,0
558,Nicaragua,1682,0
562,Niger,1682,0
566,Nigeria,1682,0
408,North Korea,1682,0
578,Norway,1682,0
512,Oman,1682,0
591,Panama,1682,0
598,Papua New Guinea,1682,0
604,Peru,1682,0
608,Philippines,1682,0
616,Poland,1682,0
620,Portugal,1682,0
642,Romania,1682,0
643,Russia,1682,0
646,Rwanda,1682,0
682,Saudi Arabia,1682,0
686,Senegal,1682,0
688,Serbia,1682,0
694,Sierra Leone,1682,0
703,Slovakia,1682,0
90,Solomon Is.,1682,0
710,South Africa,1682,0
410,South Korea,1682,0
724,Spain,1682,0
740,Suriname,1682,0
748,Swaziland,1682,0
752,Sweden,1682,0
762,Tajikistan,1682,0
834,Tanzania,1682,0
764,Thailand,1682,0
792,Turkey,1682,0
