ccode,country.name,year,value
8,Albania,1820,0
12,Algeria,1820,0
24,Angola,1820,0
32,Argentina,1820,0
36,Australia,1820,0
40,Austria,1820,0
31,Azerbaijan,1820,0
56,Belgium,1820,0
68,Bolivia,1820,0
70,Bosnia and Herzegovina,1820,0
76,Brazil,1820,0
100,Bulgaria,1820,0
124,Canada,1820,0
152,Chile,1820,0
156,China,1820,0
170,Colombia,1820,0
192,Cuba,1820,0
818,Egypt,1820,0
246,Finland,1820,0
250,France,1820,0
276,Germany,1820,0
324,Guinea,1820,0
348,Hungary,1820,0
356,India,1820,0
360,Indonesia,1820,0
364,Iran,1820,0
380,Italy,1820,0
392,Japan,1820,0
398,Kazakhstan,1820,0
430,Liberia,1820,0
442,Luxembourg,1820,0
807,Macedonia,1820,0
458,Malaysia,1820,0
478,Mauritania,1820,0
484,Mexico,1820,0
496,Mongolia,1820,0
504,Morocco,1820,0
554,New Zealand,1820,0
566,Nigeria,1820,0
408,North Korea,1820,0
578,Norway,1820,0
586,Pakistan,1820,0
598,Papua New Guinea,1820,0
604,Peru,1820,0
608,Philippines,1820,0
616,Poland,1820,0
620,Portugal,1820,0
642,Romania,1820,0
643,Russia,1820,0
694,Sierra Leone,1820,0
703,Slovakia,1820,0
710,South Africa,1820,0
410,South Korea,1820,0
724,Spain,1820,0
748,Swaziland,1820,0
752,Sweden,1820,0
764,Thailand,1820,0
788,Tunisia,1820,0
792,Turkey,1820,0
800,Uganda,1820,0
804,Ukraine,1820,0
826,United Kingdom,1820,0
840,United States,1820,0
862,Venezuela,1820,0
704,Vietnam,1820,0
716,Zimbabwe,1820,0
8,Albania,1821,0
12,Algeria,1821,0
24,Angola,1821,0
32,Argentina,1821,0
36,Australia,1821,0
40,Austria,1821,0
31,Azerbaijan,1821,0
56,Belgium,1821,0
68,Bolivia,1821,0
70,Bosnia and Herzegovina,1821,0
76,Brazil,1821,0
100,Bulgaria,1821,0
124,Canada,1821,0
152,Chile,1821,0
156,China,1821,0
170,Colombia,1821,0
192,Cuba,1821,0
818,Egypt,1821,0
246,Finland,1821,0
250,France,1821,0
276,Germany,1821,0
324,Guinea,1821,0
348,Hungary,1821,0
356,India,1821,0
360,Indonesia,1821,0
364,Iran,1821,0
380,Italy,1821,0
392,Japan,1821,0
398,Kazakhstan,1821,0
430,Liberia,1821,0
442,Luxembourg,1821,0
807,Macedonia,1821,0
458,Malaysia,1821,0
478,Mauritania,1821,0
484,Mexico,1821,0
496,Mongolia,1821,0
504,Morocco,1821,0
554,New Zealand,1821,0
566,Nigeria,1821,0
408,North Korea,1821,0
578,Norway,1821,0
586,Pakistan,1821,0
598,Papua New Guinea,1821,0
604,Peru,1821,0
608,Philippines,1821,0
616,Poland,1821,0
620,Portugal,1821,0
642,Romania,1821,0
643,Russia,1821,0
694,Sierra Leone,1821,0
703,Slovakia,1821,0
710,South Africa,1821,0
410,South Korea,1821,0
724,Spain,1821,0
748,Swaziland,1821,0
752,Sweden,1821,0
764,Thailand,1821,0
788,Tunisia,1821,0
792,Turkey,1821,0
800,Uganda,1821,0
804,Ukraine,1821,0
826,United Kingdom,1821,0
840,United States,1821,0
862,Venezuela,1821,0
704,Vietnam,1821,0
716,Zimbabwe,1821,0
8,Albania,1822,0
12,Algeria,1822,0
24,Angola,1822,0
32,Argentina,1822,0
36,Australia,1822,0
40,Austria,1822,0
31,Azerbaijan,1822,0
56,Belgium,1822,0
68,Bolivia,1822,0
70,Bosnia and Herzegovina,1822,0
76,Brazil,1822,0
100,Bulgaria,1822,0
124,Canada,1822,0
152,Chile,1822,0
156,China,1822,0
170,Colombia,1822,0
192,Cuba,1822,0
818,Egypt,1822,0
246,Finland,1822,0
250,France,1822,0
276,Germany,1822,0.175
324,Guinea,1822,0
348,Hungary,1822,0
356,India,1822,0
360,Indonesia,1822,0
364,Iran,1822,0
380,Italy,1822,0
392,Japan,1822,0
398,Kazakhstan,1822,0
430,Liberia,1822,0
442,Luxembourg,1822,0
807,Macedonia,1822,0
458,Malaysia,1822,0
478,Mauritania,1822,0
484,Mexico,1822,0
496,Mongolia,1822,0
504,Morocco,1822,0
554,New Zealand,1822,0
566,Nigeria,1822,0
408,North Korea,1822,0
578,Norway,1822,0
586,Pakistan,1822,0
598,Papua New Guinea,1822,0
