ccode,country.name,year,value
12,Algeria,1705,0
32,Argentina,1705,0
36,Australia,1705,0
40,Austria,1705,0
68,Bolivia,1705,0
70,Bosnia and Herzegovina,1705,0
76,Brazil,1705,0
100,Bulgaria,1705,0
124,Canada,1705,0
152,Chile,1705,0
156,China,1705,0
170,Colombia,1705,0
178,Congo,1705,0
246,Finland,1705,0
250,France,1705,0
268,Georgia,1705,0
276,Germany,1705,0
300,Greece,1705,0
320,Guatemala,1705,0
340,Honduras,1705,0
348,Hungary,1705,0
356,India,1705,0
364,Iran,1705,0
372,Ireland,1705,0
380,Italy,1705,0
392,Japan,1705,0
398,Kazakhstan,1705,0
404,Kenya,1705,0
418,Laos,1705,0
807,Macedonia,1705,0
484,Mexico,1705,0
504,Morocco,1705,0
104,Myanmar,1705,0
516,Namibia,1705,0
408,North Korea,1705,0
578,Norway,1705,0
604,Peru,1705,0
608,Philippines,1705,0
616,Poland,1705,0
620,Portugal,1705,0
642,Romania,1705,0
643,Russia,1705,0
688,Serbia,1705,0
703,Slovakia,1705,0
705,Slovenia,1705,0
710,South Africa,1705,0
410,South Korea,1705,0
724,Spain,1705,0
752,Sweden,1705,0
762,Tajikistan,1705,0
764,Thailand,1705,0
788,Tunisia,1705,0
792,Turkey,1705,0
826,United Kingdom,1705,28
840,United States,1705,0
860,Uzbekistan,1705,0
704,Vietnam,1705,0
894,Zambia,1705,0
12,Algeria,1725,0
32,Argentina,1725,0
36,Australia,1725,0
40,Austria,1725,0
68,Bolivia,1725,0
70,Bosnia and Herzegovina,1725,0
76,Brazil,1725,0
100,Bulgaria,1725,0
124,Canada,1725,0
152,Chile,1725,0
156,China,1725,0
170,Colombia,1725,0
178,Congo,1725,0
246,Finland,1725,0
250,France,1725,0
268,Georgia,1725,0
276,Germany,1725,0
300,Greece,1725,0
320,Guatemala,1725,0
340,Honduras,1725,0
348,Hungary,1725,0
356,India,1725,0
364,Iran,1725,0
372,Ireland,1725,0
380,Italy,1725,0
392,Japan,1725,0
398,Kazakhstan,1725,0
404,Kenya,1725,0
418,Laos,1725,0
807,Macedonia,1725,0
484,Mexico,1725,0
504,Morocco,1725,0
104,Myanmar,1725,0
516,Namibia,1725,0
408,North Korea,1725,0
578,Norway,1725,0
604,Peru,1725,0
608,Philippines,1725,0
616,Poland,1725,0
620,Portugal,1725,0
642,Romania,1725,0
643,Russia,1725,0
688,Serbia,1725,0
703,Slovakia,1725,0
705,Slovenia,1725,0
710,South Africa,1725,0
410,South Korea,1725,0
724,Spain,1725,0
752,Sweden,1725,0
762,Tajikistan,1725,0
764,Thailand,1725,0
788,Tunisia,1725,0
792,Turkey,1725,0
826,United Kingdom,1725,24
840,United States,1725,0
860,Uzbekistan,1725,0
704,Vietnam,1725,0
894,Zambia,1725,0
12,Algeria,1755,0
32,Argentina,1755,0
36,Australia,1755,0
40,Austria,1755,0
68,Bolivia,1755,0
70,Bosnia and Herzegovina,1755,0
76,Brazil,1755,0
100,Bulgaria,1755,0
124,Canada,1755,0
152,Chile,1755,0
156,China,1755,0
170,Colombia,1755,0
178,Congo,1755,0
246,Finland,1755,0
250,France,1755,0
268,Georgia,1755,0
276,Germany,1755,0
300,Greece,1755,0
320,Guatemala,1755,0
340,Honduras,1755,0
348,Hungary,1755,0
356,India,1755,0
364,Iran,1755,0
372,Ireland,1755,0
380,Italy,1755,0
392,Japan,1755,0
398,Kazakhstan,1755,0
404,Kenya,1755,0
418,Laos,1755,0
807,Macedonia,1755,0
484,Mexico,1755,0
504,Morocco,1755,0
104,Myanmar,1755,0
516,Namibia,1755,0
