ccode,country.name,year,value
24,Angola,1835,0
32,Argentina,1835,0
36,Australia,1835,0
40,Austria,1835,0
70,Bosnia and Herzegovina,1835,0
72,Botswana,1835,0
76,Brazil,1835,0
100,Bulgaria,1835,0
152,Chile,1835,0
156,China,1835,0
178,Congo,1835,0
384,Cote d'Ivoire,1835,0
192,Cuba,1835,0
818,Egypt,1835,0
242,Fiji,1835,0
250,France,1835,1.7
266,Gabon,1835,0
268,Georgia,1835,0
288,Ghana,1835,0
300,Greece,1835,0
328,Guyana,1835,0
348,Hungary,1835,0
356,India,1835,0
360,Indonesia,1835,0
364,Iran,1835,0
380,Italy,1835,0
392,Japan,1835,0
398,Kazakhstan,1835,0
458,Malaysia,1835,0
484,Mexico,1835,0
504,Morocco,1835,0
104,Myanmar,1835,0
516,Namibia,1835,0
604,Peru,1835,0
608,Philippines,1835,0
620,Portugal,1835,0
642,Romania,1835,0
643,Russia,1835,0
710,South Africa,1835,0
410,South Korea,1835,0
724,Spain,1835,0
752,Sweden,1835,0
764,Thailand,1835,0
792,Turkey,1835,0
804,Ukraine,1835,0
826,United Kingdom,1835,0
840,United States,1835,0
548,Vanuatu,1835,0
894,Zambia,1835,0
24,Angola,1836,0
32,Argentina,1836,0
36,Australia,1836,0
40,Austria,1836,0
70,Bosnia and Herzegovina,1836,0
72,Botswana,1836,0
76,Brazil,1836,0
100,Bulgaria,1836,0
152,Chile,1836,0
156,China,1836,0
178,Congo,1836,0
384,Cote d'Ivoire,1836,0
192,Cuba,1836,0
818,Egypt,1836,0
242,Fiji,1836,0
250,France,1836,1.7
266,Gabon,1836,0
268,Georgia,1836,0
288,Ghana,1836,0
300,Greece,1836,0
328,Guyana,1836,0
348,Hungary,1836,0
356,India,1836,0
360,Indonesia,1836,0
364,Iran,1836,0
380,Italy,1836,0
392,Japan,1836,0
398,Kazakhstan,1836,0
458,Malaysia,1836,0
484,Mexico,1836,0
504,Morocco,1836,0
104,Myanmar,1836,0
516,Namibia,1836,0
604,Peru,1836,0
608,Philippines,1836,0
620,Portugal,1836,0
642,Romania,1836,0
643,Russia,1836,0
710,South Africa,1836,0
410,South Korea,1836,0
724,Spain,1836,0
752,Sweden,1836,0
764,Thailand,1836,0
792,Turkey,1836,0
804,Ukraine,1836,0
826,United Kingdom,1836,0
840,United States,1836,0
548,Vanuatu,1836,0
894,Zambia,1836,0
24,Angola,1837,0
32,Argentina,1837,0
36,Australia,1837,0
40,Austria,1837,0
70,Bosnia and Herzegovina,1837,0
72,Botswana,1837,0
76,Brazil,1837,0
100,Bulgaria,1837,0
152,Chile,1837,0
156,China,1837,0
178,Congo,1837,0
384,Cote d'Ivoire,1837,0
192,Cuba,1837,0
818,Egypt,1837,0
242,Fiji,1837,0
250,France,1837,2.9
266,Gabon,1837,0
268,Georgia,1837,0
288,Ghana,1837,0
300,Greece,1837,0
328,Guyana,1837,0
348,Hungary,1837,0
356,India,1837,0
360,Indonesia,1837,0
364,Iran,1837,0
380,Italy,1837,0
392,Japan,1837,0
398,Kazakhstan,1837,0
458,Malaysia,1837,0
484,Mexico,1837,0
504,Morocco,1837,0
104,Myanmar,1837,0
516,Namibia,1837,0
604,Peru,1837,0
608,Philippines,1837,0
620,Portugal,1837,0
642,Romania,1837,0
643,Russia,1837,0
710,South Africa,1837,0
410,South Korea,1837,0
724,Spain,1837,0
752,Sweden,1837,0
764,Thailand,1837,0
792,Turkey,1837,0
804,Ukraine,1837,0
826,United Kingdom,1837,0
840,United States,1837,0
548,Vanuatu,1837,0
894,Zambia,1837,0
24,Angola,1838,0
32,Argentina,1838,0
36,Australia,1838,0
40,Austria,1838,0
70,Bosnia and Herzegovina,1838,0
72,Botswana,1838,0
76,Brazil,1838,0
100,Bulgaria,1838,0
152,Chile,1838,0
156,China,1838,0
178,Congo,1838,0
384,Cote d'Ivoire,1838,0
192,Cuba,1838,0
818,Egypt,1838,0
242,Fiji,1838,0
250,France,1838,2.7
266,Gabon,1838,0
268,Georgia,1838,0
288,Ghana,1838,0
300,Greece,1838,0
328,Guyana,1838,0
348,Hungary,1838,0
356,India,1838,0
360,Indonesia,1838,0
364,Iran,1838,0
380,Italy,1838,0
392,Japan,1838,0
398,Kazakhstan,1838,0
458,Malaysia,1838,0
484,Mexico,1838,0
504,Morocco,1838,0
104,Myanmar,1838,0
516,Namibia,1838,0
604,Peru,1838,0
608,Philippines,1838,0
620,Portugal,1838,0
642,Romania,1838,0
643,Russia,1838,0
710,South Africa,1838,0
410,South Korea,1838,0
724,Spain,1838,0
752,Sweden,1838,0
764,Thailand,1838,0
792,Turkey,1838,0
804,Ukraine,1838,0
826,United Kingdom,1838,0
840,United States,1838,0
548,Vanuatu,1838,0
894,Zambia,1838,0
24,Angola,1839,0
32,Argentina,1839,0
36,Australia,1839,0
40,Austria,1839,0
70,Bosnia and Herzegovina,1839,0
72,Botswana,1839,0
76,Brazil,1839,0
100,Bulgaria,1839,0
152,Chile,1839,0
156,China,1839,0
178,Congo,1839,0
384,Cote d'Ivoire,1839,0
192,Cuba,1839,0
818,Egypt,1839,0
242,Fiji,1839,0
250,France,1839,4.1
266,Gabon,1839,0
268,Georgia,1839,0
288,Ghana,1839,0
300,Greece,1839,0
328,Guyana,1839,0
348,Hungary,1839,0
356,India,1839,0
360,Indonesia,1839,0
364,Iran,1839,0
380,Italy,1839,0
392,Japan,1839,0
398,Kazakhstan,1839,0
458,Malaysia,1839,0
484,Mexico,1839,0
504,Morocco,1839,0
104,Myanmar,1839,0
516,Namibia,1839,0
604,Peru,1839,0
608,Philippines,1839,0
620,Portugal,1839,0
642,Romania,1839,0
643,Russia,1839,0
710,South Africa,1839,0
410,South Korea,1839,0
724,Spain,1839,0
752,Sweden,1839,0
764,Thailand,1839,0
792,Turkey,1839,0
804,Ukraine,1839,0
826,United Kingdom,1839,0
840,United States,1839,0
548,Vanuatu,1839,0
894,Zambia,1839,0
24,Angola,1840,0
32,Argentina,1840,0
36,Australia,1840,0
40,Austria,1840,0
70,Bosnia and Herzegovina,1840,0
72,Botswana,1840,0
76,Brazil,1840,0
100,Bulgaria,1840,0
152,Chile,1840,0
156,China,1840,0
178,Congo,1840,0
384,Cote d'Ivoire,1840,0
192,Cuba,1840,0
818,Egypt,1840,0
242,Fiji,1840,0
250,France,1840,3.6
266,Gabon,1840,0
268,Georgia,1840,0
288,Ghana,1840,0
300,Greece,1840,0
328,Guyana,1840,0
348,Hungary,1840,0
356,India,1840,0
360,Indonesia,1840,0
364,Iran,1840,0
380,Italy,1840,0
392,Japan,1840,0
398,Kazakhstan,1840,0
458,Malaysia,1840,0
484,Mexico,1840,0
504,Morocco,1840,0
104,Myanmar,1840,0
516,Namibia,1840,0
604,Peru,1840,0
608,Philippines,1840,0
620,Portugal,1840,0
642,Romania,1840,0
643,Russia,1840,0
710,South Africa,1840,0
410,South Korea,1840,0
724,Spain,1840,0
752,Sweden,1840,0
764,Thailand,1840,0
792,Turkey,1840,0
804,Ukraine,1840,0
826,United Kingdom,1840,0
840,United States,1840,0
548,Vanuatu,1840,0
894,Zambia,1840,0
24,Angola,1841,0
32,Argentina,1841,0
36,Australia,1841,0
40,Austria,1841,0
70,Bosnia and Herzegovina,1841,0
72,Botswana,1841,0
76,Brazil,1841,0
100,Bulgaria,1841,0
152,Chile,1841,0
156,China,1841,0
178,Congo,1841,0
384,Cote d'Ivoire,1841,0
192,Cuba,1841,0
818,Egypt,1841,0
242,Fiji,1841,0
250,France,1841,2
266,Gabon,1841,0
268,Georgia,1841,0
288,Ghana,1841,0
300,Greece,1841,0
328,Guyana,1841,0
348,Hungary,1841,0
356,India,1841,0
360,Indonesia,1841,0
364,Iran,1841,0
380,Italy,1841,0
392,Japan,1841,0
398,Kazakhstan,1841,0
458,Malaysia,1841,0
484,Mexico,1841,0
504,Morocco,1841,0
104,Myanmar,1841,0
516,Namibia,1841,0
604,Peru,1841,0
608,Philippines,1841,0
620,Portugal,1841,0
642,Romania,1841,0
643,Russia,1841,0
710,South Africa,1841,0
410,South Korea,1841,0
724,Spain,1841,0
752,Sweden,1841,0
764,Thailand,1841,0
792,Turkey,1841,0
804,Ukraine,1841,0
826,United Kingdom,1841,0
840,United States,1841,0
548,Vanuatu,1841,0
894,Zambia,1841,0
24,Angola,1842,0
32,Argentina,1842,0
36,Australia,1842,0
40,Austria,1842,0
70,Bosnia and Herzegovina,1842,0
72,Botswana,1842,0
76,Brazil,1842,0
100,Bulgaria,1842,0
152,Chile,1842,0
156,China,1842,0
178,Congo,1842,0
384,Cote d'Ivoire,1842,0
192,Cuba,1842,0
818,Egypt,1842,0
242,Fiji,1842,0
250,France,1842,1.5
266,Gabon,1842,0
268,Georgia,1842,0
288,Ghana,1842,0
300,Greece,1842,0
328,Guyana,1842,0
348,Hungary,1842,0
356,India,1842,0
360,Indonesia,1842,0
364,Iran,1842,0
380,Italy,1842,0
