ccode,country.name,year,value
8,Albania,1850,0
36,Australia,1850,0
72,Botswana,1850,0
76,Brazil,1850,0
124,Canada,1850,0
156,China,1850,0
170,Colombia,1850,0
192,Cuba,1850,0
214,Dominican Republic,1850,0
246,Finland,1850,0
276,Germany,1850,0
300,Greece,1850,0
360,Indonesia,1850,0
398,Kazakhstan,1850,0
807,Macedonia,1850,0
504,Morocco,1850,0
104,Myanmar,1850,0
578,Norway,1850,0
598,Papua New Guinea,1850,0
608,Philippines,1850,0
616,Poland,1850,0
643,Russia,1850,0
710,South Africa,1850,0
724,Spain,1850,0
792,Turkey,1850,0
804,Ukraine,1850,0
840,United States,1850,0
862,Venezuela,1850,0
894,Zambia,1850,0
716,Zimbabwe,1850,0
8,Albania,1851,0
36,Australia,1851,0
72,Botswana,1851,0
76,Brazil,1851,0
124,Canada,1851,0
156,China,1851,0
170,Colombia,1851,0
192,Cuba,1851,0
214,Dominican Republic,1851,0
246,Finland,1851,0
276,Germany,1851,0
300,Greece,1851,0
356,India,1851,0
360,Indonesia,1851,0
364,Iran,1851,0
398,Kazakhstan,1851,0
807,Macedonia,1851,0
504,Morocco,1851,0
104,Myanmar,1851,0
578,Norway,1851,0
598,Papua New Guinea,1851,0
608,Philippines,1851,0
616,Poland,1851,0
643,Russia,1851,0
710,South Africa,1851,0
724,Spain,1851,0
792,Turkey,1851,0
804,Ukraine,1851,0
840,United States,1851,0
862,Venezuela,1851,0
894,Zambia,1851,0
716,Zimbabwe,1851,0
8,Albania,1852,0
36,Australia,1852,0
72,Botswana,1852,0
76,Brazil,1852,0
124,Canada,1852,0
156,China,1852,0
170,Colombia,1852,0
192,Cuba,1852,0
214,Dominican Republic,1852,0
246,Finland,1852,0
276,Germany,1852,0
300,Greece,1852,0
356,India,1852,0
360,Indonesia,1852,0
364,Iran,1852,0
398,Kazakhstan,1852,0
807,Macedonia,1852,0
504,Morocco,1852,0
104,Myanmar,1852,0
578,Norway,1852,0
598,Papua New Guinea,1852,0
608,Philippines,1852,0
616,Poland,1852,0
643,Russia,1852,0
710,South Africa,1852,0
724,Spain,1852,0
792,Turkey,1852,0
804,Ukraine,1852,0
840,United States,1852,0
862,Venezuela,1852,0
894,Zambia,1852,0
716,Zimbabwe,1852,0
8,Albania,1853,0
36,Australia,1853,0
72,Botswana,1853,0
76,Brazil,1853,0
124,Canada,1853,0
156,China,1853,0
170,Colombia,1853,0
192,Cuba,1853,0
214,Dominican Republic,1853,0
246,Finland,1853,0
276,Germany,1853,0
300,Greece,1853,0
356,India,1853,0
360,Indonesia,1853,0
364,Iran,1853,0
398,Kazakhstan,1853,0
807,Macedonia,1853,0
504,Morocco,1853,0
104,Myanmar,1853,0
578,Norway,1853,0
598,Papua New Guinea,1853,0
608,Philippines,1853,0
616,Poland,1853,0
643,Russia,1853,0
710,South Africa,1853,0
724,Spain,1853,0
792,Turkey,1853,0
804,Ukraine,1853,0
840,United States,1853,0
862,Venezuela,1853,0
894,Zambia,1853,0
716,Zimbabwe,1853,0
8,Albania,1854,0
36,Australia,1854,0
72,Botswana,1854,0
76,Brazil,1854,0
124,Canada,1854,0
156,China,1854,0
170,Colombia,1854,0
192,Cuba,1854,0
214,Dominican Republic,1854,0
246,Finland,1854,0
276,Germany,1854,0
300,Greece,1854,0
356,India,1854,0
360,Indonesia,1854,0
364,Iran,1854,0
398,Kazakhstan,1854,0
807,Macedonia,1854,0
504,Morocco,1854,0
104,Myanmar,1854,0
578,Norway,1854,0
598,Papua New Guinea,1854,0
608,Philippines,1854,0
616,Poland,1854,0
643,Russia,1854,0
710,South Africa,1854,0
724,Spain,1854,0
792,Turkey,1854,0
804,Ukraine,1854,0
840,United States,1854,0
862,Venezuela,1854,0
894,Zambia,1854,0
716,Zimbabwe,1854,0
8,Albania,1855,0
36,Australia,1855,0
72,Botswana,1855,0
76,Brazil,1855,0
124,Canada,1855,0
156,China,1855,0
170,Colombia,1855,0
192,Cuba,1855,0
214,Dominican Republic,1855,0
246,Finland,1855,0
276,Germany,1855,0
300,Greece,1855,0
356,India,1855,0
360,Indonesia,1855,0
364,Iran,1855,0
398,Kazakhstan,1855,0
807,Macedonia,1855,0
504,Morocco,1855,0
104,Myanmar,1855,0
578,Norway,1855,0
598,Papua New Guinea,1855,0
608,Philippines,1855,0
616,Poland,1855,0
643,Russia,1855,0
710,South Africa,1855,0
724,Spain,1855,0
792,Turkey,1855,0
804,Ukraine,1855,0
840,United States,1855,0
862,Venezuela,1855,0
894,Zambia,1855,0
716,Zimbabwe,1855,0
8,Albania,1856,0
36,Australia,1856,0
72,Botswana,1856,0
76,Brazil,1856,0
124,Canada,1856,0
156,China,1856,0
170,Colombia,1856,0
192,Cuba,1856,0
214,Dominican Republic,1856,0
246,Finland,1856,0
276,Germany,1856,0
300,Greece,1856,0
356,India,1856,0
360,Indonesia,1856,0
364,Iran,1856,0
398,Kazakhstan,1856,0
807,Macedonia,1856,0
504,Morocco,1856,0
104,Myanmar,1856,0
578,Norway,1856,0
598,Papua New Guinea,1856,0
608,Philippines,1856,0
616,Poland,1856,0
643,Russia,1856,0
710,South Africa,1856,0
724,Spain,1856,0
792,Turkey,1856,0
804,Ukraine,1856,0
840,United States,1856,0
862,Venezuela,1856,0
894,Zambia,1856,0
716,Zimbabwe,1856,0
8,Albania,1857,0
36,Australia,1857,0
72,Botswana,1857,0
76,Brazil,1857,0
124,Canada,1857,0
156,China,1857,0
170,Colombia,1857,0
192,Cuba,1857,0
214,Dominican Republic,1857,0
246,Finland,1857,0
276,Germany,1857,0
300,Greece,1857,0
356,India,1857,0
360,Indonesia,1857,0
364,Iran,1857,0
398,Kazakhstan,1857,0
807,Macedonia,1857,0
504,Morocco,1857,0
104,Myanmar,1857,0
578,Norway,1857,0
598,Papua New Guinea,1857,0
608,Philippines,1857,0
616,Poland,1857,0
643,Russia,1857,0
710,South Africa,1857,0
724,Spain,1857,0
792,Turkey,1857,0
804,Ukraine,1857,0
840,United States,1857,0
862,Venezuela,1857,0
894,Zambia,1857,0
716,Zimbabwe,1857,0
8,Albania,1858,0
36,Australia,1858,0
72,Botswana,1858,0
76,Brazil,1858,0
124,Canada,1858,0
156,China,1858,0
170,Colombia,1858,0
192,Cuba,1858,0
214,Dominican Republic,1858,0
246,Finland,1858,0
276,Germany,1858,0
300,Greece,1858,0
356,India,1858,0
360,Indonesia,1858,0
364,Iran,1858,0
398,Kazakhstan,1858,0
807,Macedonia,1858,0
504,Morocco,1858,0
104,Myanmar,1858,0
578,Norway,1858,0
598,Papua New Guinea,1858,0
608,Philippines,1858,0
616,Poland,1858,0
643,Russia,1858,0
710,South Africa,1858,0
724,Spain,1858,0
792,Turkey,1858,0
804,Ukraine,1858,0
840,United States,1858,0
862,Venezuela,1858,0
894,Zambia,1858,0
716,Zimbabwe,1858,0
8,Albania,1859,0
36,Australia,1859,0
72,Botswana,1859,0
76,Brazil,1859,0
124,Canada,1859,0
156,China,1859,0
170,Colombia,1859,0
192,Cuba,1859,0
214,Dominican Republic,1859,0
246,Finland,1859,0
276,Germany,1859,0
300,Greece,1859,0
