ccode,country.name,year,value
32,Argentina,1700,0
36,Australia,1700,0
68,Bolivia,1700,0
76,Brazil,1700,0
108,Burundi,1700,0
120,Cameroon,1700,0
124,Canada,1700,0
156,China,1700,0
180,"Congo, DRC",1700,0
818,Egypt,1700,0
250,France,1700,0
276,Germany,1700,0
356,India,1700,0
360,Indonesia,1700,0
364,Iran,1700,0
380,Italy,1700,0
392,Japan,1700,0
398,Kazakhstan,1700,0
418,Laos,1700,0
458,Malaysia,1700,0
484,Mexico,1700,0
496,Mongolia,1700,0
504,Morocco,1700,0
508,Mozambique,1700,0
104,Myanmar,1700,0
516,Namibia,1700,0
562,Niger,1700,0
566,Nigeria,1700,0
604,Peru,1700,0
620,Portugal,1700,0
643,Russia,1700,0
646,Rwanda,1700,0
710,South Africa,1700,0
410,South Korea,1700,0
724,Spain,1700,0
748,Swaziland,1700,0
834,Tanzania,1700,0
764,Thailand,1700,0
800,Uganda,1700,0
826,United Kingdom,1700,1.5
840,United States,1700,0
704,Vietnam,1700,0
894,Zambia,1700,0
716,Zimbabwe,1700,0
32,Argentina,1701,0
36,Australia,1701,0
68,Bolivia,1701,0
76,Brazil,1701,0
108,Burundi,1701,0
120,Cameroon,1701,0
124,Canada,1701,0
156,China,1701,0
180,"Congo, DRC",1701,0
818,Egypt,1701,0
250,France,1701,0
276,Germany,1701,0
356,India,1701,0
360,Indonesia,1701,0
364,Iran,1701,0
380,Italy,1701,0
392,Japan,1701,0
398,Kazakhstan,1701,0
418,Laos,1701,0
458,Malaysia,1701,0
484,Mexico,1701,0
496,Mongolia,1701,0
504,Morocco,1701,0
508,Mozambique,1701,0
104,Myanmar,1701,0
516,Namibia,1701,0
562,Niger,1701,0
566,Nigeria,1701,0
604,Peru,1701,0
620,Portugal,1701,0
643,Russia,1701,0
646,Rwanda,1701,0
710,South Africa,1701,0
410,South Korea,1701,0
724,Spain,1701,0
748,Swaziland,1701,0
834,Tanzania,1701,0
764,Thailand,1701,0
800,Uganda,1701,0
826,United Kingdom,1701,1.4
840,United States,1701,0
704,Vietnam,1701,0
894,Zambia,1701,0
716,Zimbabwe,1701,0
32,Argentina,1702,0
36,Australia,1702,0
68,Bolivia,1702,0
76,Brazil,1702,0
108,Burundi,1702,0
120,Cameroon,1702,0
124,Canada,1702,0
156,China,1702,0
180,"Congo, DRC",1702,0
818,Egypt,1702,0
250,France,1702,0
276,Germany,1702,0
356,India,1702,0
360,Indonesia,1702,0
364,Iran,1702,0
380,Italy,1702,0
392,Japan,1702,0
398,Kazakhstan,1702,0
418,Laos,1702,0
458,Malaysia,1702,0
484,Mexico,1702,0
496,Mongolia,1702,0
504,Morocco,1702,0
508,Mozambique,1702,0
104,Myanmar,1702,0
516,Namibia,1702,0
562,Niger,1702,0
566,Nigeria,1702,0
604,Peru,1702,0
620,Portugal,1702,0
643,Russia,1702,0
646,Rwanda,1702,0
710,South Africa,1702,0
410,South Korea,1702,0
724,Spain,1702,0
748,Swaziland,1702,0
834,Tanzania,1702,0
764,Thailand,1702,0
800,Uganda,1702,0
826,United Kingdom,1702,1.1
840,United States,1702,0
704,Vietnam,1702,0
894,Zambia,1702,0
716,Zimbabwe,1702,0
32,Argentina,1703,0
36,Australia,1703,0
68,Bolivia,1703,0
76,Brazil,1703,0
108,Burundi,1703,0
120,Cameroon,1703,0
124,Canada,1703,0
156,China,1703,0
180,"Congo, DRC",1703,0
818,Egypt,1703,0
250,France,1703,0
276,Germany,1703,0
356,India,1703,0
360,Indonesia,1703,0
364,Iran,1703,0
380,Italy,1703,0
392,Japan,1703,0
398,Kazakhstan,1703,0
418,Laos,1703,0
458,Malaysia,1703,0
484,Mexico,1703,0
496,Mongolia,1703,0
504,Morocco,1703,0
508,Mozambique,1703,0
104,Myanmar,1703,0
516,Namibia,1703,0
562,Niger,1703,0
566,Nigeria,1703,0
604,Peru,1703,0
620,Portugal,1703,0
643,Russia,1703,0
