ccode,country.name,year,value
12,Algeria,1705,0
32,Argentina,1705,0
51,Armenia,1705,0
36,Australia,1705,0
40,Austria,1705,0
56,Belgium,1705,0
68,Bolivia,1705,0
70,Bosnia and Herzegovina,1705,0
76,Brazil,1705,0
100,Bulgaria,1705,0
124,Canada,1705,0
152,Chile,1705,0
156,China,1705,0
178,Congo,1705,0
180,"Congo, DRC",1705,0
203,Czech Republic,1705,0
218,Ecuador,1705,0
246,Finland,1705,0
250,France,1705,0
268,Georgia,1705,0
276,Germany,1705,0
300,Greece,1705,0
320,Guatemala,1705,0
340,Honduras,1705,0
348,Hungary,1705,0
356,India,1705,0
364,Iran,1705,0
372,Ireland,1705,0
380,Italy,1705,0
392,Japan,1705,0
398,Kazakhstan,1705,0
404,Kenya,1705,0
418,Laos,1705,0
807,Macedonia,1705,0
484,Mexico,1705,0
496,Mongolia,1705,0
504,Morocco,1705,0
104,Myanmar,1705,0
516,Namibia,1705,0
554,New Zealand,1705,0
558,Nicaragua,1705,0
566,Nigeria,1705,0
408,North Korea,1705,0
578,Norway,1705,0
604,Peru,1705,0
608,Philippines,1705,0
616,Poland,1705,0
620,Portugal,1705,0
642,Romania,1705,0
643,Russia,1705,0
682,Saudi Arabia,1705,0
703,Slovakia,1705,0
710,South Africa,1705,0
410,South Korea,1705,0
724,Spain,1705,0
752,Sweden,1705,0
762,Tajikistan,1705,0
764,Thailand,1705,0
788,Tunisia,1705,0
792,Turkey,1705,0
826,United Kingdom,1705,0
840,United States,1705,0
860,Uzbekistan,1705,0
704,Vietnam,1705,0
894,Zambia,1705,0
12,Algeria,1725,0
32,Argentina,1725,0
36,Australia,1725,0
40,Austria,1725,0
56,Belgium,1725,0
68,Bolivia,1725,0
70,Bosnia and Herzegovina,1725,0
76,Brazil,1725,0
100,Bulgaria,1725,0
124,Canada,1725,0
152,Chile,1725,0
156,China,1725,0
178,Congo,1725,0
180,"Congo, DRC",1725,0
203,Czech Republic,1725,0
218,Ecuador,1725,0
246,Finland,1725,0
250,France,1725,0
268,Georgia,1725,0
276,Germany,1725,0
300,Greece,1725,0
320,Guatemala,1725,0
340,Honduras,1725,0
348,Hungary,1725,0
356,India,1725,0
364,Iran,1725,0
372,Ireland,1725,0
380,Italy,1725,0
392,Japan,1725,0
398,Kazakhstan,1725,0
404,Kenya,1725,0
418,Laos,1725,0
807,Macedonia,1725,0
484,Mexico,1725,0
496,Mongolia,1725,0
504,Morocco,1725,0
104,Myanmar,1725,0
516,Namibia,1725,0
554,New Zealand,1725,0
558,Nicaragua,1725,0
566,Nigeria,1725,0
408,North Korea,1725,0
578,Norway,1725,0
604,Peru,1725,0
608,Philippines,1725,0
616,Poland,1725,0
620,Portugal,1725,0
642,Romania,1725,0
643,Russia,1725,0
682,Saudi Arabia,1725,0
703,Slovakia,1725,0
710,South Africa,1725,0
410,South Korea,1725,0
724,Spain,1725,0
752,Sweden,1725,0
762,Tajikistan,1725,0
764,Thailand,1725,0
788,Tunisia,1725,0
792,Turkey,1725,0
826,United Kingdom,1725,0
840,United States,1725,0
860,Uzbekistan,1725,0
704,Vietnam,1725,0
894,Zambia,1725,0
12,Algeria,1755,0
32,Argentina,1755,0
36,Australia,1755,0
40,Austria,1755,0
56,Belgium,1755,0
68,Bolivia,1755,0
70,Bosnia and Herzegovina,1755,0
76,Brazil,1755,0
100,Bulgaria,1755,0
124,Canada,1755,0
152,Chile,1755,0
156,China,1755,0
178,Congo,1755,0
180,"Congo, DRC",1755,0
203,Czech Republic,1755,0
218,Ecuador,1755,0
246,Finland,1755,0
250,France,1755,0
